Race ID,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph)
1,1,vettel,Vettel,Sebastian,Ferrari,ferrari,25,Finished,1:26.469,220.782
1,2,hamilton,Hamilton,Lewis,Mercedes,mercedes,18,Finished,1:26.444,220.845
1,3,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,15,Finished,1:26.373,221.027
1,4,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,12,Finished,1:25.945,222.128
1,5,alonso,Alonso,Fernando,McLaren,mclaren,10,Finished,1:26.978,219.489
1,6,max_verstappen,Verstappen,Max,Red Bull,red_bull,8,Finished,1:26.880,219.737
1,7,hulkenberg,Hülkenberg,Nico,Renault,renault,6,Finished,1:27.081,219.230
1,8,bottas,Bottas,Valtteri,Mercedes,mercedes,4,Finished,1:27.019,219.386
1,9,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,2,Finished,1:26.958,219.540
1,10,sainz,Sainz,Carlos,Renault,renault,1,Finished,1:27.944,217.079
1,11,perez,Pérez,Sergio,Force India,force_india,0,Finished,1:27.633,217.849
1,12,ocon,Ocon,Esteban,Force India,force_india,0,Finished,1:27.600,217.931
1,13,leclerc,Leclerc,Charles,Sauber,sauber,0,Finished,1:28.759,215.085
1,14,stroll,Stroll,Lance,Williams,williams,0,Finished,1:28.511,215.688
1,15,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,+1 Lap,1:28.176,216.507
1,16,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Wheel,1:28.805,214.974
1,17,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Wheel,1:29.534,213.224
1,18,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,Engine,1:30.649,210.601
1,19,ericsson,Ericsson,Marcus,Sauber,sauber,0,Steering,1:32.210,207.036
1,20,sirotkin,Sirotkin,Sergey,Williams,williams,0,Brakes,1:32.573,206.224
2,1,vettel,Vettel,Sebastian,Ferrari,ferrari,25,Finished,1:34.453,206.274
2,2,bottas,Bottas,Valtteri,Mercedes,mercedes,18,Finished,1:33.740,207.842
2,3,hamilton,Hamilton,Lewis,Mercedes,mercedes,15,Finished,1:33.953,207.371
2,4,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,12,Finished,1:34.863,205.382
2,5,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,10,Finished,1:34.327,206.549
2,6,hulkenberg,Hülkenberg,Nico,Renault,renault,8,Finished,1:34.667,205.807
2,7,alonso,Alonso,Fernando,McLaren,mclaren,6,+1 Lap,1:34.168,206.898
2,8,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,4,+1 Lap,1:35.131,204.803
2,9,ericsson,Ericsson,Marcus,Sauber,sauber,2,+1 Lap,1:35.093,204.885
2,10,ocon,Ocon,Esteban,Force India,force_india,1,+1 Lap,1:35.043,204.993
2,11,sainz,Sainz,Carlos,Renault,renault,0,+1 Lap,1:35.535,203.937
2,12,leclerc,Leclerc,Charles,Sauber,sauber,0,+1 Lap,1:35.075,204.924
2,13,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,+1 Lap,1:34.689,205.759
2,14,stroll,Stroll,Lance,Williams,williams,0,+1 Lap,1:35.058,204.961
2,15,sirotkin,Sirotkin,Sergey,Williams,williams,0,+1 Lap,1:34.053,207.151
2,16,perez,Pérez,Sergio,Force India,force_india,0,+1 Lap,1:35.266,204.513
2,17,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,+1 Lap,1:34.563,206.034
2,18,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,0,Wheel,1:34.337,206.527
2,19,max_verstappen,Verstappen,Max,Red Bull,red_bull,0,Puncture,,
2,20,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,0,Electrical,,
3,1,ricciardo,Ricciardo,Daniel,Red Bull,red_bull,25,Finished,1:35.785,204.871
3,2,bottas,Bottas,Valtteri,Mercedes,mercedes,18,Finished,1:36.987,202.332
3,3,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,15,Finished,1:36.456,203.446
3,4,hamilton,Hamilton,Lewis,Mercedes,mercedes,12,Finished,1:36.878,202.559
3,5,max_verstappen,Verstappen,Max,Red Bull,red_bull,10,Finished,1:36.206,203.974
3,6,hulkenberg,Hülkenberg,Nico,Renault,renault,8,Finished,1:36.881,202.553
3,7,alonso,Alonso,Fernando,McLaren,mclaren,6,Finished,1:37.234,201.818
3,8,vettel,Vettel,Sebastian,Ferrari,ferrari,4,Finished,1:37.479,201.311
3,9,sainz,Sainz,Carlos,Renault,renault,2,Finished,1:37.754,200.744
3,10,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,1,Finished,1:38.152,199.930
3,11,ocon,Ocon,Esteban,Force India,force_india,0,Finished,1:37.985,200.271
3,12,perez,Pérez,Sergio,Force India,force_india,0,Finished,1:37.673,200.911
3,13,vandoorne,Vandoorne,Stoffel,McLaren,mclaren,0,Finished,1:38.137,199.961
3,14,stroll,Stroll,Lance,Williams,williams,0,Finished,1:38.500,199.224
3,15,sirotkin,Sirotkin,Sergey,Williams,williams,0,Finished,1:38.624,198.973
3,16,ericsson,Ericsson,Marcus,Sauber,sauber,0,Finished,1:38.386,199.455
3,17,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Finished,1:37.410,201.453
3,18,gasly,Gasly,Pierre,Toro Rosso,toro_rosso,0,Finished,1:38.367,199.493
3,19,leclerc,Leclerc,Charles,Sauber,sauber,0,Finished,1:38.808,198.603
3,20,brendon_hartley,Hartley,Brendon,Toro Rosso,toro_rosso,0,Collision damage,1:39.376,197.468
4,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:45.412,205.012
4,2,raikkonen,Räikkönen,Kimi,Ferrari,ferrari,18,Finished,1:46.523,202.874
