Constructor,Race ID,Year,status_value,StatusComponent,Round,Mean,StdDev,intermediate,PitStopComponent,ConstructorConfidance
Haas F1 Team,15,2022,-0.4,0.4,15,22.2475,2.068287334970651,46.01422248475956,0.02,-0.008
Haas F1 Team,16,2018,-0.4,0.4,16,30.186500000000002,0.0,30.186500000000002,0.03,-0.012
Haas F1 Team,16,2019,-0.4,0.4,16,30.509000000000004,0.0,30.509000000000004,0.03,-0.012
Haas F1 Team,16,2020,-0.4,0.4,16,25.47,0.0056568542494905,0.14408007773452303,6.25,-2.5
Haas F1 Team,16,2022,-0.4,0.4,16,27.505000000000003,3.7603938623500626,103.42963318393848,0.009,-0.0036
Haas F1 Team,17,2018,1.0,0.75,17,26.3495,0.0,26.3495,0.034,0.034
Haas F1 Team,17,2019,1.0,0.75,17,23.771250000000002,0.064700270478569,1.5380063046136834,0.585,0.585
Haas F1 Team,17,2020,1.0,0.75,17,22.906,0.2715290039756345,6.219643365065884,0.145,0.145
Haas F1 Team,17,2022,1.0,0.75,17,35.925,4.698017454203418,168.7762770422578,0.005,0.005
Haas F1 Team,18,2018,-0.5,0.375,18,29.4135,0.0,29.4135,0.031,-0.0155
Haas F1 Team,18,2019,-0.5,0.375,18,23.606,0.0,23.606,0.038,-0.019
Haas F1 Team,18,2022,-0.5,0.375,18,402.029,0.0,402.029,0.002,-0.001
Haas F1 Team,19,2018,-0.4,0.4,19,22.73475,0.24501249968113795,5.5702979271257504,0.162,-0.06480000000000001
Haas F1 Team,19,2019,-0.4,0.4,19,24.7065,0.07000357133746644,1.7295432352491147,0.521,-0.20840000000000003
Haas F1 Team,19,2022,-0.4,0.4,19,29.038999999999998,0.0,29.038999999999998,0.031,-0.012400000000000001
Haas F1 Team,20,2018,2.0,1.0,20,23.258999999999997,0.0,23.258999999999997,0.039,0.078
Haas F1 Team,20,2019,2.0,1.0,20,23.833499999999997,0.0,23.833499999999997,0.038,0.076
Haas F1 Team,20,2022,2.0,1.0,20,23.722,0.0,23.722,0.038,0.076
Haas F1 Team,21,2018,-0.4,0.4,21,21.970499999999998,0.0,21.970499999999998,0.041,-0.0164
Haas F1 Team,21,2019,-0.4,0.4,21,21.7495,0.0,21.7495,0.041,-0.0164
McLaren,1,2018,2.0,1.0,1,22.523500000000002,0.0,22.523500000000002,0.04,0.08
